DATE,BAMLCC8A015PYTRIV
2013-06-27,2909.66
2013-06-28,2931.70
2013-06-30,2932.58
2013-07-01,2941.71
2013-07-02,2955.66
2013-07-03,2946.21
2013-07-04,2946.66
2013-07-05,2880.59
2013-07-08,2901.37
2013-07-09,2906.59
2013-07-10,2900.59
2013-07-11,2932.73
2013-07-12,2928.71
2013-07-15,2947.16
2013-07-16,2961.42
2013-07-17,2972.47
2013-07-18,2955.61
2013-07-19,2981.72
2013-07-22,2992.79
2013-07-23,2983.65
2013-07-24,2962.16
2013-07-25,2956.25
2013-07-26,2973.09
2013-07-29,2958.27
2013-07-30,2953.42
2013-07-31,2961.19
2013-08-01,2917.80
2013-08-02,2947.75
2013-08-05,2932.27
2013-08-06,2932.04
2013-08-07,2946.28
2013-08-08,2952.44
2013-08-09,2952.40
2013-08-12,2938.69
2013-08-13,2905.31
2013-08-14,2905.44
2013-08-15,2885.08
2013-08-16,2861.00
2013-08-19,2842.72
2013-08-20,2859.13
2013-08-21,2845.94
2013-08-22,2846.16
2013-08-23,2879.20
2013-08-26,2888.63
2013-08-27,2917.48
2013-08-28,2898.38
2013-08-29,2918.39
2013-09-02,2931.74
2013-09-03,2896.68
2013-09-04,2888.88
2013-09-05,2854.71
2013-09-06,2857.87
2013-09-09,2869.95
2013-09-10,2850.26
2013-09-11,2862.17
2013-09-12,2868.33
2013-09-13,2867.87
2013-09-16,2862.20
2013-09-17,2873.27
2013-09-18,2905.34
2013-09-19,2896.08
2013-09-20,2913.36
2013-09-23,2920.00
2013-09-24,2946.63
2013-09-25,2955.64
2013-09-26,2939.40
2013-09-27,2939.74
2013-09-30,2932.90
2013-10-01,2923.15
2013-10-02,2931.05
2013-10-03,2934.76
2013-10-04,2927.54
2013-10-07,2940.04
2013-10-08,2942.70
2013-10-09,2932.82
2013-10-10,2932.49
2013-10-11,2939.20
2013-10-14,2940.55
2013-10-15,2929.58
2013-10-16,2953.91
2013-10-17,2983.22
2013-10-18,2989.83
2013-10-21,2981.86
2013-10-22,3009.93
2013-10-23,3018.69
2013-10-24,3005.54
2013-10-25,3012.79
2013-10-28,3010.58
2013-10-29,3005.27
2013-10-30,3003.22
2013-10-31,3004.67
2013-11-01,2981.14
2013-11-04,2983.00
2013-11-05,2958.33
2013-11-06,2953.95
2013-11-07,2969.47
2013-11-08,2924.11
2013-11-11,2925.46
2013-11-12,2920.28
2013-11-13,2930.74
2013-11-14,2944.22
2013-11-15,2945.23
2013-11-18,2975.43
2013-11-19,2961.22
2013-11-20,2926.09
2013-11-21,2935.37
2013-11-22,2954.13
2013-11-25,2956.94
2013-11-26,2977.53
2013-11-27,2968.03
2013-11-28,2968.48
2013-11-29,2970.04
2013-11-30,2970.48
2013-12-02,2953.21
2013-12-03,2960.87
2013-12-04,2935.92
2013-12-05,2934.73
2013-12-06,2937.10
2013-12-09,2949.60
2013-12-10,2977.41
2013-12-11,2962.21
2013-12-12,2958.53
2013-12-13,2969.24
2013-12-16,2965.68
2013-12-17,2978.66
2013-12-18,2967.69
2013-12-19,2978.89
2013-12-20,3011.32
2013-12-23,3007.79
2013-12-24,2987.28
2013-12-26,2980.82
2013-12-27,2974.90
2013-12-30,2993.32
2013-12-31,2982.21
2014-01-02,2995.15
2014-01-03,2992.54
2014-01-06,3009.67
2014-01-07,3015.30
2014-01-08,3002.62
2014-01-09,3015.72
2014-01-10,3045.61
2014-01-13,3056.83
2014-01-14,3043.55
2014-01-15,3042.21
2014-01-16,3055.07
2014-01-17,3060.60
2014-01-20,3061.96
2014-01-21,3068.67
2014-01-22,3058.07
2014-01-23,3082.09
2014-01-24,3080.11
